user_id,session_id,timestamp
user_1,user_1_s6791,2024-06-06
user_1,user_1_s6535,2024-06-23
user_2,user_2_s4510,2024-06-11
user_2,user_2_s5218,2024-06-17
user_2,user_2_s9958,2024-06-06
user_2,user_2_s3327,2024-06-05
user_3,user_3_s8777,2024-06-06
user_3,user_3_s8125,2024-06-11
user_3,user_3_s7287,2024-06-01
user_3,user_3_s5282,2024-06-06
user_4,user_4_s1659,2024-06-28
user_4,user_4_s8098,2024-06-04
user_4,user_4_s7546,2024-06-26
user_4,user_4_s2986,2024-06-19
user_5,user_5_s3911,2024-06-07
user_5,user_5_s2843,2024-06-09
user_5,user_5_s3976,2024-06-08
user_5,user_5_s6759,2024-06-07
user_6,user_6_s5736,2024-06-11
user_6,user_6_s9155,2024-06-25
user_7,user_7_s6534,2024-06-30
user_8,user_8_s1262,2024-06-28
user_8,user_8_s7287,2024-06-26
user_9,user_9_s3049,2024-06-01
user_9,user_9_s6423,2024-06-30
user_9,user_9_s5548,2024-06-05
user_9,user_9_s8158,2024-06-09
user_10,user_10_s4170,2024-06-19
user_11,user_11_s3255,2024-06-03
user_11,user_11_s5499,2024-06-24
user_11,user_11_s7197,2024-06-24
user_11,user_11_s2648,2024-06-08
user_12,user_12_s5199,2024-06-20
user_12,user_12_s9445,2024-06-03
user_12,user_12_s3557,2024-06-25
user_12,user_12_s1098,2024-06-25
user_13,user_13_s3961,2024-06-14
user_14,user_14_s3869,2024-06-03
user_14,user_14_s1956,2024-06-09
user_15,user_15_s9352,2024-06-04
user_15,user_15_s7944,2024-06-14
user_15,user_15_s5911,2024-06-20
user_15,user_15_s7015,2024-06-08
user_16,user_16_s2218,2024-06-17
user_16,user_16_s5735,2024-06-01
user_16,user_16_s5555,2024-06-27
user_17,user_17_s4446,2024-06-22
user_17,user_17_s7893,2024-06-30
user_17,user_17_s4436,2024-06-19
user_18,user_18_s6895,2024-06-27
user_18,user_18_s1225,2024-06-21
user_19,user_19_s8022,2024-06-01
user_19,user_19_s8996,2024-06-16
user_20,user_20_s8683,2024-06-03
user_20,user_20_s8679,2024-06-17
user_20,user_20_s8339,2024-06-28
user_21,user_21_s2069,2024-06-21
user_21,user_21_s2060,2024-06-24
user_22,user_22_s1301,2024-06-21
user_23,user_23_s4170,2024-06-28
user_23,user_23_s6088,2024-06-20
user_23,user_23_s1190,2024-06-29
user_24,user_24_s3975,2024-06-23
user_25,user_25_s4327,2024-06-03
user_26,user_26_s2816,2024-06-10
user_26,user_26_s6854,2024-06-22
user_26,user_26_s1569,2024-06-03
user_26,user_26_s2895,2024-06-14
user_27,user_27_s8455,2024-06-15
user_27,user_27_s2686,2024-06-02
user_27,user_27_s8806,2024-06-27
user_27,user_27_s2409,2024-06-26
user_28,user_28_s9096,2024-06-09
user_29,user_29_s8343,2024-06-07
user_29,user_29_s6596,2024-06-10
user_29,user_29_s3806,2024-06-26
user_30,user_30_s2841,2024-06-25
user_30,user_30_s9716,2024-06-28
user_30,user_30_s6625,2024-06-07
user_31,user_31_s5780,2024-06-20
user_32,user_32_s7655,2024-06-14
user_33,user_33_s7002,2024-06-23
user_33,user_33_s6919,2024-06-23
user_33,user_33_s1853,2024-06-19
user_33,user_33_s4769,2024-06-30
user_34,user_34_s7293,2024-06-26
user_35,user_35_s8509,2024-06-17
user_35,user_35_s5777,2024-06-06
user_36,user_36_s3491,2024-06-05
user_36,user_36_s4124,2024-06-28
user_36,user_36_s4051,2024-06-12
user_37,user_37_s6222,2024-06-04
user_38,user_38_s1876,2024-06-20
user_38,user_38_s5142,2024-06-03
user_39,user_39_s8079,2024-06-20
user_39,user_39_s7799,2024-06-13
user_39,user_39_s5465,2024-06-28
user_40,user_40_s2693,2024-06-19
user_40,user_40_s5752,2024-06-24
user_41,user_41_s6177,2024-06-23
user_41,user_41_s9932,2024-06-26
user_41,user_41_s9308,2024-06-30
user_42,user_42_s2150,2024-06-09
user_42,user_42_s2931,2024-06-21
user_42,user_42_s2664,2024-06-26
user_43,user_43_s1512,2024-06-15
user_43,user_43_s8805,2024-06-22
user_44,user_44_s4672,2024-06-08
user_44,user_44_s8404,2024-06-21
user_44,user_44_s4343,2024-06-29
user_44,user_44_s5070,2024-06-05
user_45,user_45_s8004,2024-06-23
user_45,user_45_s9130,2024-06-12
user_46,user_46_s2679,2024-06-19
user_46,user_46_s8253,2024-06-25
user_47,user_47_s6188,2024-06-15
user_48,user_48_s3141,2024-06-14
user_49,user_49_s7617,2024-06-16
user_49,user_49_s7484,2024-06-07
user_50,user_50_s8421,2024-06-30
user_50,user_50_s5452,2024-06-23
user_50,user_50_s6881,2024-06-10
user_50,user_50_s3849,2024-06-20
user_51,user_51_s7905,2024-06-19
user_51,user_51_s3489,2024-06-01
user_51,user_51_s5611,2024-06-16
user_52,user_52_s9527,2024-06-23
user_52,user_52_s7303,2024-06-27
user_52,user_52_s1851,2024-06-24
user_52,user_52_s7833,2024-06-03
user_53,user_53_s5000,2024-06-29
user_53,user_53_s3738,2024-06-11
user_53,user_53_s6732,2024-06-12
user_53,user_53_s9002,2024-06-01
user_54,user_54_s4913,2024-06-11
user_55,user_55_s5380,2024-06-13
user_55,user_55_s5107,2024-06-14
user_55,user_55_s9945,2024-06-03
user_55,user_55_s9967,2024-06-29
user_56,user_56_s1417,2024-06-19
user_56,user_56_s9808,2024-06-07
user_57,user_57_s1825,2024-06-21
user_57,user_57_s6745,2024-06-13
user_57,user_57_s1412,2024-06-24
user_57,user_57_s8587,2024-06-25
user_58,user_58_s8164,2024-06-25
user_59,user_59_s6988,2024-06-09
user_59,user_59_s3967,2024-06-03
user_59,user_59_s2122,2024-06-16
user_59,user_59_s2571,2024-06-18
user_60,user_60_s3143,2024-06-24
user_61,user_61_s8357,2024-06-05
user_61,user_61_s4440,2024-06-23
user_61,user_61_s6644,2024-06-23
user_62,user_62_s3914,2024-06-09
user_63,user_63_s9787,2024-06-16
user_63,user_63_s1728,2024-06-22
user_64,user_64_s1698,2024-06-19
user_65,user_65_s1395,2024-06-29
user_66,user_66_s9082,2024-06-12
user_67,user_67_s3502,2024-06-28
user_68,user_68_s3782,2024-06-20
